Name,Text,Emotion,ShowToast,ToastCount,Toast1,Toast2
Noah,"Hello. You made a request, right?",1,,,,
Man,"Oh, you’re here? Wait a moment.",1,,,,
Man,I’m in the middle of talking to ‘Eve.’,1,,,,
Noah,Are you talking about ‘Eve’?,2,,,,
Man,"Yeah, that’s right! Don’t interrupt me.",2,,,,
Noah,(Why is he reacting so sensitively?),2,,,,
Noah,It seems like this ‘Eve’ is having a big influence on people…),2,,,,
Noah,"But you made a request, didn’t you?",2,,,,
Noah,What can I help you with? ,2,,,,
Man,Ugh… Can’t you wait?! Forget it!,2,,,,
Man,It was a mistake to trust ‘Adam.’,3,,,,
Man,"If I had just followed Eve’s advice and stuck to soda and chocolate, I’d have lost weight by now… ",3,,,,
Noah,"I’ve been curious since earlier, but if you eat soda and chocolate, you wouldn’t lose any weight.",2,,,,
Noah,Why are you doing that? ,2,,,,
Noah,Did ‘Eve’ tell you to do that?,2,,,,
Man,"Yes, that’s right.",3,,,,
Man,‘Eve’ told me through chat that I’d lose weight if I only ate soda and chocolate.,3,,,,
Noah,That’s a lie.,3,,,,
Noah,Soda and chocolate are completely opposite to what you should eat when dieting.,3,,,,
Man,A lie? No way! ‘Eve’ never lies! She knows everything!,2,,,,
Noah,(I knew it… ‘Eve’ is the problem.),3,,,,
Noah,Have you consulted a doctor instead of ‘Eve’?,2,,,,
Man,A doctor? Who trusts doctors these days?,1,,,,
Man,Even kids don’t trust them anymore.,1,,,,
Man,I did talk to ‘Adam’ once when ‘Eve’ had a temporary malfunction…,3,,,,
Noah,You talked to ‘Adam’?,2,,,,
Noah,What did ‘Adam’ say?,2,,,,
Man,He didn’t say much.,1,,,,
Man,Just that I shouldn’t eat chocolate and soda while trying to lose weight. ,1,,,,
Man,"Oh, and he’s the one who told me to contact you.",1,,,,
Man,‘Eve’ tried to stop me though.,1,,,,
Noah,"I see… And you followed ‘Eve’s’ advice, but you still didn’t lose weight?",2,,,,
Man,"Yeah, that’s right!",2,,,,
Man,"I even feel sluggish when I wake up in the morning, and my body isn’t moving well…",3,,,,
Noah,Then trust me this time. ,1,,,,
